,plot_id,lat,lon,invyr,TPA
46441,4_4312,38.841423999999996,-91.23249200000001,2004.0,212.5769162282477
90647,9_9960,41.875282,-77.371957,2014.0,137.2880291380008
96513,0_865,39.627739,-86.65614599999999,2010.0,19.129731242575154
80596,4_1264,33.897040999999994,-79.567155,2004.0,51.38122046968463
8871,11_6604,39.550453999999995,-79.29803000000001,2011.0,160.31965358154594
24859,0_2334,47.478614,-91.723888,2010.0,655.6807551598544
33155,10_8972,40.589506,-82.669682,2016.0,113.79311778612228
39043,1_976,31.349683000000002,-85.865625,2013.0,152.3418729259409
25500,0_2229,48.170593,-92.844048,2010.0,161.4320493727236
32544,1_2067,45.328062,-90.55896800000001,2017.0,115.57947875354107
50801,10_10590,30.945712,-89.53684,2010.0,80.15982679077297
35236,9_12123,36.724128,-80.892517,2013.0,179.8663304411868
116352,7_7368,36.186716,-93.45473199999999,2007.0,62.76629799437452
110164,4_2832,45.37795,-69.5415,2014.0,1083.7504184540676
